"Year","DJFMP_fish_catch_per_seine_Silverside","DJFMP_fish_biomass_Silverside"
1976,0,0
1977,0.208333333333333,320.637475708208
1978,1.10777777777778,2129.50156341311
1979,3.50166666666667,7860.08871967106
1980,3.88333333333333,5603.0212339117
1981,1.85944444444444,2160.68864454648
1982,13.3983333333333,2927.99581053962
1983,9.95833333333333,10356.0134007182
1984,12.0677777777778,15094.5814581892
1985,9.20972222222222,16383.4311316979
1986,5.15138888888889,8017.58785987308
1987,9.13888888888889,13024.69729371
1988,4.16666666666667,8532.14819683683
1989,9.29097222222222,13913.4859093591
1990,5.68888888888889,6102.18973184423
1991,10.0740740740741,13176.1919460607
1992,16.825,21138.1642616519
1993,4.15516666666667,5865.61266429136
1994,19.3805555555556,25510.7396603471
1995,13.6416666666667,15299.5361470989
1996,27.7638888888889,34587.7322200311
1997,17.7625,15967.3635734935
1998,12.3294444444444,14807.9427851409
1999,18.0077777777778,17992.9109825983
2000,19.9766666666667,20347.8191198808
2001,42.0527777777778,62484.7872248576
2002,30.4461111111111,42233.5855934254
2003,38.4833333333333,42536.4776848408
2004,47.1005555555556,56381.7988051127
2005,61.53,71857.8529098735
2006,140.436666666667,121249.628095626
2007,28.6333333333333,28392.55669386
2008,14.2188888888889,13256.4836214831
2009,172.397222222222,191891.780860972
2010,53.4955555555556,52555.7959254708
2011,65.8222222222222,61455.739739373
2012,28.3694444444444,25411.8269716838
2013,56.1883333333333,51333.9887368525
2014,120.522777777778,98817.7168352956
2015,54.1811111111111,57783.9961410321
2016,78.916,74569.6169000758
2017,51.7461111111111,39945.3985302761
2018,35.2501111111111,48839.3273916182
2019,50.4106666666667,38989.5263438776
2020,17.2944444444444,31842.2647267657
